Serial #s, 
, , , , , , , , , , , Functional Test Parameters , , , , , , , , , , , , , , , , Gate Signal Test Parameters , 
   , Check Pos 15V,	CH2 Off Gate Voltage,	   CH1 On Gate Voltage,	CH1 Off Gate Voltage,	CH2 On Gate Voltage,   UVLO, OVLO, DSAT Hi, DSAT Lo,	Digital +5V, CH1 Pos Vunreg,	CH1 Neg Vunreg,	CH2 Pos Vunreg,	CH2 Neg Vunreg,	Ch1 Freq,	Ch1 Duty, Ch2 Freq,	Ch2 Duty,	TempFreq,	Temp Duty,	DCL Freq,	DCL Duty,	Ch1 Gate Trig Freq,	Ch2 Gate Trig Freq, 2L Aug Switch - Ch1, Aug Switch - Ch2, DSAT - Ch1, DSAT- Ch2, Deadtime - Ch1(ns), Deadtime - Ch2(ns), Result, Reason for Failure 
ZJ2404122-001-1101,0.59,9.91E+34,9.91E+34,PASSING,PASSING,PASSING,PASSING,9.91E+46,9.91E+46,FAIL,Pos 15 V Check Failed , Failed Low Side Trigger Frequency Test , Failed High Side Trigger Frequency Test , Failed Low Side Deadtime Test , Failed High Side Deadtime Test 
ZJ2404122-001-1101,14.87,4.03,18.81,3.92,18.8,PASS,PASS,PASS,PASS,5.33,21.96,7.43,21.97,7.45,10005,49,10041,49,31373,57,31373,42,50.02701,49.95054,PASSING,PASSED,PASSED,PASSED,1016,994.4,FAIL,Failed FUNC_DSAT_LO, Failed FUNC_DCLINKMON_CHECK, 
ZJ2404122-001-1101,14.88,4.04,18.89,3.92,18.81,PASS,PASS,PASS,PASS,5.33,21.97,7.43,21.96,7.44,9998,49,10041,49,31397,57,31397,50,49.96303,49.989,PASSED,PASSED,PASSED,PASSED,1006.4,972.8,PASS,
ZJ2404122-001-1102,14.88,4.06,18.67,4.05,18.59,PASS,PASS,PASS,PASS,5.32,21.97,7.45,21.98,7.46,10003,49,10041,49,31385,57,31385,45,50.019,50.01198,PASSING,PASSED,PASSED,PASSED,998.2,989.8,PASS,
ZJ2404122-001-1103,14.88,4.04,18.81,3.88,18.66,PASS,PASS,PASS,PASS,5.34,21.98,7.44,21.95,7.45,10003,49,10041,49,31397,57,31397,46,50.03202,49.93808,PASSED,PASSED,PASSED,PASSED,1011.2,978.4,PASS,
ZJ2404122-001-1104,14.88,4.11,18.52,3.87,18.8,PASS,PASS,PASS,PASS,5.32,22,7.42,21.95,7.45,10005,49,10041,49,31484,57,31484,48,49.96702,50.013,PASSED,PASSED,PASSED,PASSED,1015.2,985,PASS,
ZJ2404122-001-1105,14.87,4.01,18.79,3.99,18.77,PASS,PASS,PASS,PASS,5.34,22,7.46,21.97,7.44,10004,49,10041,49,31397,57,31410,46,49.98002,49.97505,PASSING,PASSED,PASSED,PASSED,1002.4,988,PASS,
ZJ2404122-001-1106,14.89,3.99,18.63,3.85,18.73,PASS,PASS,PASS,PASS,5.35,21.98,7.44,21.96,7.46,10004,49,10041,49,31397,56,31385,53,49.97401,49.94557,PASSED,PASSED,PASSED,PASSED,1001.6,979.2,PASS,
ZJ2404122-001-1107,14.88,4.01,18.64,3.9,18.65,PASS,PASS,PASS,PASS,5.36,22,7.44,21.97,7.47,10001,49,10041,49,31459,57,31459,51,49.97202,50.05306,PASSED,PASSED,PASSED,PASSED,1025.6,1355.2,PASS,
ZJ2404122-001-1108,14.88,4.02,18.64,4.05,18.71,PASS,PASS,PASS,PASS,5.34,21.98,7.44,21.96,7.44,10004,49,10041,49,31422,56,31422,51,50.03002,50.06806,PASSED,PASSED,FAILED,FAILED,1006.4,1005.4,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1108,14.89,4.02,18.65,3.96,18.73,PASS,PASS,PASS,PASS,5.35,21.98,7.44,21.95,7.45,10006,49,10041,49,31385,56,31385,52,49.97501,50.004,PASSED,PASSED,PASSED,PASSED,1035.2,978.4,PASS,
ZJ2404122-001-1109,14.87,4.02,18.7,4.02,18.76,PASS,PASS,PASS,PASS,5.35,21.98,7.42,21.96,7.48,10005,49,10041,49,31360,57,31360,50,49.98799,50.006,PASSING,PASSED,PASSED,PASSED,1027.4,1008,PASS,
ZJ2404122-001-1110,14.89,4.04,18.7,3.85,18.65,PASS,PASS,PASS,PASS,5.36,22.01,7.43,21.96,7.47,10004,49,10041,49,31397,57,31397,49,49.97701,49.97498,PASSED,PASSED,PASSED,PASSED,1006.2,1002.4,PASS,
ZJ2404122-001-1111,14.88,3.96,18.68,3.99,18.55,PASS,PASS,PASS,PASS,5.35,21.99,7.43,21.97,7.45,10004,49,10041,49,31459,57,31459,52,50.008,49.97098,PASSED,PASSED,PASSED,PASSED,973.6,976.8,PASS,
ZJ2404122-001-1112,14.87,4.05,18.78,3.83,18.59,PASS,PASS,PASS,PASS,5.37,21.96,7.44,21.96,7.45,10000,49,10041,49,31447,57,31447,48,49.94406,49.90817,PASSED,PASSED,FAILED,FAILED,982.4,997.6,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1112,14.88,4.09,18.82,3.83,18.64,PASS,PASS,PASS,PASS,5.36,21.96,7.45,21.96,7.46,10005,49,10041,49,31422,57,31434,48,50.05356,50.07812,PASSED,PASSED,PASSED,PASSED,998.4,995.2,PASS,
ZJ2404122-001-1114,14.87,4.03,18.82,3.97,18.66,PASS,PASS,PASS,PASS,5.35,21.99,7.46,21.97,7.45,10006,49,10041,49,31336,57,31336,48,50.03686,50.05907,PASSED,PASSED,PASSED,PASSED,1000.8,1012.8,PASS,
ZJ2404122-001-1115,14.88,4,18.74,4.02,18.68,PASS,PASS,PASS,PASS,5.35,21.99,7.43,21.96,7.45,10004,49,10041,49,31459,57,31459,48,49.997,49.98101,PASSING,PASSED,PASSED,PASSED,1010.6,972.8,PASS,
