Serial #s, 
, , , , , , , , , , , Functional Test Parameters , , , , , , , , , , , , , , , , Gate Signal Test Parameters , 
   , Check Pos 15V,	CH2 Off Gate Voltage,	   CH1 On Gate Voltage,	CH1 Off Gate Voltage,	CH2 On Gate Voltage,   UVLO, OVLO, DSAT Hi, DSAT Lo,	Digital +5V, CH1 Pos Vunreg,	CH1 Neg Vunreg,	CH2 Pos Vunreg,	CH2 Neg Vunreg,	Ch1 Freq,	Ch1 Duty, Ch2 Freq,	Ch2 Duty,	TempFreq,	Temp Duty,	DCL Freq,	DCL Duty,	Ch1 Gate Trig Freq,	Ch2 Gate Trig Freq, 2L Aug Switch - Ch1, Aug Switch - Ch2, DSAT - Ch1, DSAT- Ch2, Deadtime - Ch1(ns), Deadtime - Ch2(ns), Result, Reason for Failure 
ZJ2404122-001-0981,14.88,3.97,18.76,4.08,18.7,PASS,PASS,PASS,PASS,5.35,22,7.45,21.99,7.45,10004,49,10041,49,31373,57,31373,49,50.004,49.96451,PASSED,PASSED,PASSED,PASSED,988,984,PASS,
ZJ2404122-001-1019,14.89,4.03,18.66,3.94,18.8,PASS,PASS,PASS,PASS,0.99,22.01,7.43,21.99,7.45,10005,49,10041,49,31397,57,31397,49,49.98401,50.05105,PASSED,PASSED,FAILED,FAILED,994.4,1340.8,FAIL,Failed FUNC_DIGITAL_5V_CHECK, Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1002,14.88,4.18,18.72,4.1,18.59,PASS,PASS,PASS,PASS,0.97,22.01,7.43,21.99,7.44,10004,49,10041,49,31434,57,31434,48,50.02101,49.98001,PASSED,PASSED,PASSED,PASSED,1015.8,1344,FAIL,Failed FUNC_DIGITAL_5V_CHECK, 
ZJ2404122-001-0961,14.88,4,18.81,3.9,18.77,PASS,PASS,PASS,PASS,5.33,21.98,7.42,21.96,7.44,10004,49,10041,49,31348,57,31348,48,49.994,49.97753,PASSED,PASSED,PASSED,PASSED,998.4,1020.6,PASS,
ZJ2404122-001-0942,14.89,4.03,18.78,3.89,18.64,PASS,PASS,PASS,PASS,5.34,22,7.46,21.97,7.48,10004,49,10041,49,31459,57,31459,48,49.99,50.00749,PASSED,PASSED,PASSED,PASSED,988,1364.8,PASS,
ZJ2404122-001-1020,14.88,4.16,18.54,3.95,18.82,PASS,PASS,PASS,PASS,5.32,22.01,7.46,21.97,7.44,10001,49,10041,49,31397,58,31397,49,49.988,49.96951,PASSING,PASSED,PASSED,PASSED,1008.8,1006.4,PASS,
ZJ2404122-001-0988,14.88,4,18.67,3.97,18.64,PASS,PASS,PASS,PASS,5.32,22.01,7.43,21.97,7.43,10004,49,10041,49,31422,57,31422,47,50.01,50.01897,PASSED,PASSED,FAILED,FAILED,1004,990.4,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0952,14.88,4.03,18.77,3.92,18.69,PASS,PASS,PASS,PASS,5.35,21.99,7.46,21.97,7.44,10004,49,10041,49,31410,57,31410,52,49.996,50.01249,PASSED,PASSED,PASSED,PASSED,1026.4,1015,PASS,
ZJ2404122-001-1010,14.89,4.11,18.62,3.92,18.76,PASS,PASS,PASS,PASS,5.32,22,7.43,21.97,7.45,10003,49,10041,49,31397,57,31397,45,50.04304,49.99952,PASSED,PASSED,PASSED,PASSED,982.4,988,PASS,
ZJ2404122-001-1024,14.89,4.19,18.68,4.01,18.69,PASS,PASS,PASS,PASS,5.35,21.98,7.45,21.95,7.48,10004,49,10041,49,31397,57,31397,52,49.98904,49.95404,PASSING,PASSED,FAILED,FAILED,1009.8,990.4,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0979,14.88,4.04,18.79,3.93,18.61,PASS,PASS,PASS,PASS,5.35,21.98,7.44,21.97,7.47,10003,49,10041,49,31422,57,31410,48,50.02401,50.004,PASSED,PASSED,FAILED,FAILED,1010.4,1351.2,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0992,14.9,4.15,18.63,3.95,18.69,PASS,PASS,PASS,PASS,5.33,21.99,7.44,21.95,7.49,10005,49,10041,49,31422,57,31422,49,50.03003,50.01553,PASSING,PASSED,PASSED,PASSED,1006.4,977.6,PASS,
ZJ2404122-001-1006,14.87,4.02,18.69,4.18,18.87,PASS,PASS,PASS,PASS,5.33,21.97,7.45,21.95,7.45,10001,49,10041,49,31385,57,31385,48,50.04604,50.04204,PASSED,PASSED,PASSED,PASSED,1018.4,958.4,PASS,
ZJ2404122-001-0979,14.87,4.04,18.77,3.96,18.63,PASS,PASS,PASS,PASS,5.36,21.97,7.45,21.95,7.47,10005,49,10041,49,31422,56,31422,49,50.015,50.006,PASSED,PASSED,PASSED,PASSED,999.2,1374.4,PASS,
ZJ2404122-001-1024,14.87,4.18,18.63,3.99,18.71,PASS,PASS,PASS,PASS,5.38,21.97,7.46,21.94,7.45,10005,49,10041,49,31397,57,31397,47,49.97804,49.998,PASSING,PASSED,PASSED,PASSED,995,1009.6,PASS,
ZJ2404122-001-1019,14.89,4.05,18.63,4,18.85,PASS,PASS,PASS,PASS,5.34,21.98,7.44,21.96,7.49,10003,49,10041,49,31397,57,31397,52,50.03001,50.00752,PASSED,PASSED,PASSED,PASSED,1004.8,1351.2,PASS,
ZJ2404122-001-0988,14.88,4.02,18.65,3.98,18.6,PASS,PASS,PASS,PASS,5.35,21.98,7.45,21.94,7.45,10000,49,10041,49,31422,57,31422,48,50.04604,50.02201,PASSING,PASSED,PASSED,PASSED,1027.2,1004.6,PASS,
ZJ2404122-001-1002,14.87,4.07,18.69,4.11,18.62,PASS,PASS,PASS,PASS,5.37,21.98,7.46,21.95,7.48,10004,49,10041,49,31422,58,31422,50,49.92511,49.97202,PASSED,PASSED,PASSED,PASSED,1029.6,977.6,PASS,
ZJ2404122-001-0567,14.87,4,18.8,4.16,18.67,FAIL,PASS,PASS,FAIL,5.33,21.97,7.43,21.94,7.46,10000,49,10041,49,31373,56,31373,53,50.03035,50.03651,PASSED,PASSED,PASSED,PASSED,978.4,996.2,FAIL,Failed FUNC_UVLO_CHECK, 
