Serial #s, 
, , , , , , , , , , , Functional Test Parameters , , , , , , , , , , , , , , , , Gate Signal Test Parameters , 
   , Check Pos 15V,	CH2 Off Gate Voltage,	   CH1 On Gate Voltage,	CH1 Off Gate Voltage,	CH2 On Gate Voltage,   UVLO, OVLO, DSAT Hi, DSAT Lo,	Digital +5V, CH1 Pos Vunreg,	CH1 Neg Vunreg,	CH2 Pos Vunreg,	CH2 Neg Vunreg,	Ch1 Freq,	Ch1 Duty, Ch2 Freq,	Ch2 Duty,	TempFreq,	Temp Duty,	DCL Freq,	DCL Duty,	Ch1 Gate Trig Freq,	Ch2 Gate Trig Freq, 2L Aug Switch - Ch1, Aug Switch - Ch2, DSAT - Ch1, DSAT- Ch2, Deadtime - Ch1(ns), Deadtime - Ch2(ns), Result, Reason for Failure 
ZJ2404122-001-0563_Retest,14.89,3.94,18.77,3.89,18.78,PASS,PASS,PASS,PASS,5.31,22.04,7.44,22.01,7.42,10004,49,10041,49,31434,57,31447,48,49.95504,50.04805,PASSED,PASSED,PASSED,PASSED,1000.8,980,PASS,
ZJ2404122-001-0620_retest,14.88,4.18,18.88,3.87,19.08,PASS,PASS,PASS,PASS,0.94,22.02,7.43,22.01,7.47,10004,49,10041,49,31373,59,31373,46,50.0095,50.014,PASSED,PASSED,PASSED,PASSED,1010.4,1005.6,FAIL,Failed FUNC_DIGITAL_5V_CHECK, 
ZJ2404122-001-0662_Retest,14.89,4.1,18.87,3.97,18.73,PASS,PASS,PASS,PASS,0.94,22.02,7.43,22,7.44,10000,49,10041,49,31299,56,31311,49,49.95304,50.007,PASSED,PASSED,PASSED,PASSED,1004,976,FAIL,Failed FUNC_DIGITAL_5V_CHECK, 
ZJ2404122-001-0603_Retest,14.89,4.1,18.74,3.99,18.73,PASS,PASS,PASS,PASS,0.94,22.04,7.41,21.99,7.44,10003,49,10041,49,31410,57,31410,52,50.03402,49.95903,PASSED,PASSED,PASSED,PASSED,1016.8,998.4,FAIL,Failed FUNC_DIGITAL_5V_CHECK, 
