Serial #s, 
, , , , , , , , , , , Functional Test Parameters , , , , , , , , , , , , , , , , Gate Signal Test Parameters , 
   , Check Pos 15V,	CH2 Off Gate Voltage,	   CH1 On Gate Voltage,	CH1 Off Gate Voltage,	CH2 On Gate Voltage,   UVLO, OVLO, DSAT Hi, DSAT Lo,	Digital +5V, CH1 Pos Vunreg,	CH1 Neg Vunreg,	CH2 Pos Vunreg,	CH2 Neg Vunreg,	Ch1 Freq,	Ch1 Duty, Ch2 Freq,	Ch2 Duty,	TempFreq,	Temp Duty,	DCL Freq,	DCL Duty,	Ch1 Gate Trig Freq,	Ch2 Gate Trig Freq, 2L Aug Switch - Ch1, Aug Switch - Ch2, DSAT - Ch1, DSAT- Ch2, Deadtime - Ch1(ns), Deadtime - Ch2(ns), Result, Reason for Failure 
ZJ2404122-001-1030,14.88,4.05,18.79,3.96,18.78,PASS,PASS,PASS,PASS,5.3,22.04,7.43,22,7.43,10003,49,10041,49,31348,58,31336,47,49.94306,50.04905,PASSING,PASSED,PASSED,PASSED,1032,994.6,PASS,
ZJ2404122-001-1031,14.89,4,18.74,3.94,18.63,PASS,PASS,PASS,PASS,0.95,22.04,7.44,22,7.44,10004,49,10041,49,31422,57,31422,50,50.008,50.06007,PASSED,PASSED,FAILED,FAILED,998.4,986.4,FAIL,Failed FUNC_DIGITAL_5V_CHECK, Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1031,14.88,3.98,18.8,4,18.62,PASS,PASS,PASS,PASS,0.94,22.03,7.43,22,7.47,10003,49,10041,49,31410,57,31410,49,49.95455,50.01449,PASSING,PASSED,PASSED,PASSED,1008,996,FAIL,Failed FUNC_DIGITAL_5V_CHECK, 
ZJ2404122-001-1032,14.88,4.04,18.71,3.85,18.7,PASS,PASS,PASS,PASS,5.36,21.99,7.44,21.99,7.44,10003,49,10041,49,31360,57,31360,50,49.96469,50.014,PASSED,PASSED,PASSED,PASSED,1009.6,984.8,PASS,
ZJ2404122-001-1033,14.88,4.04,18.72,3.79,18.67,PASS,PASS,PASS,PASS,5.33,22.02,7.46,22,7.48,10001,49,10041,49,31447,57,31447,52,49.98301,50.02201,PASSING,PASSED,PASSED,PASSED,1010.4,974.4,PASS,
ZJ2404122-001-1034,14.88,4.06,18.83,4.02,18.82,PASS,PASS,PASS,PASS,5.33,22.01,7.41,21.98,7.44,10003,49,10041,49,31484,57,31484,47,50.04805,50.04003,PASSING,PASSED,PASSED,PASSED,991.2,978.4,PASS,
ZJ2404122-001-1035,14.88,4.19,19.29,4.65,18.91,PASS,PASS,PASS,PASS,5.35,22.02,7.42,21.99,7.44,10004,49,10041,49,31385,57,31385,52,50.03903,49.96802,PASSED,PASSED,FAILED,FAILED,1009.6,974.4,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1035,14.89,4.05,18.68,3.93,18.88,PASS,PASS,PASS,PASS,5.34,22.01,7.43,21.99,7.45,10005,49,10041,49,31373,57,31373,49,50.013,50.0035,PASSED,PASSED,PASSED,PASSED,1002.4,995.2,PASS,
ZJ2404122-001-1036,14.88,3.95,18.59,3.83,18.73,PASS,PASS,PASS,PASS,5.31,22.02,7.43,21.98,7.46,10004,49,10041,49,31422,57,31422,49,49.98483,49.98951,PASSING,PASSED,PASSED,PASSED,1010.4,988,PASS,
ZJ2404122-001-1037,14.88,4.15,18.54,4.01,18.84,PASS,PASS,PASS,PASS,5.33,22.02,7.43,21.98,7.45,10004,49,10041,49,31434,57,31434,49,50.04404,50.05205,PASSING,PASSED,PASSED,PASSED,1005.8,996,PASS,
ZJ2404122-001-1038,14.89,4.04,18.66,3.88,18.66,PASS,PASS,PASS,PASS,0.97,22.02,7.42,21.98,7.44,10004,49,10041,49,31459,57,31459,49,49.993,50.04203,PASSING,PASSED,PASSED,PASSED,1003.8,985.6,FAIL,Failed FUNC_DIGITAL_5V_CHECK, 
ZJ2404122-001-1039,14.88,4.01,18.8,3.84,18.91,PASS,PASS,PASS,PASS,0.95,22.02,7.42,21.98,7.44,10005,49,10041,49,31410,57,31410,48,50.0721,49.97598,PASSED,PASSED,PASSED,PASSED,1011,992.8,FAIL,Failed FUNC_DIGITAL_5V_CHECK, 
ZJ2404122-001-1039,14.88,4.03,18.84,3.97,18.92,PASS,PASS,PASS,PASS,0.98,22.02,7.42,21.96,7.44,10005,49,10041,49,31373,57,31373,49,49.9401,49.992,PASSED,PASSED,PASSED,PASSED,1016.2,992,FAIL,Failed FUNC_DIGITAL_5V_CHECK, 
ZJ2404122-001-1040,14.88,3.97,18.62,3.71,18.76,PASS,PASS,PASS,PASS,5.33,22.01,7.42,21.97,7.44,10005,49,10041,49,31471,57,31471,49,49.981,50.01901,PASSED,PASSED,PASSED,PASSED,1008,989.6,PASS,
ZJ2404122-001-1041,14.88,4.05,18.48,3.75,18.61,PASS,PASS,PASS,PASS,5.32,22,7.44,21.99,7.49,10003,49,10041,49,31397,57,31385,45,49.98301,49.91463,PASSING,PASSED,PASSED,PASSED,1019.4,1005.6,PASS,
ZJ2404122-001-1042,14.87,3.97,18.53,3.89,18.63,PASS,PASS,PASS,PASS,0.99,22.01,7.43,21.97,7.47,10003,49,10041,49,31360,57,31360,49,50.08214,50.01804,PASSED,PASSED,PASSED,PASSED,1018.6,1348.8,FAIL,Failed FUNC_DIGITAL_5V_CHECK, 
ZJ2404122-001-1042,14.88,3.93,18.54,3.89,18.66,PASS,PASS,PASS,PASS,5.36,21.99,7.44,21.97,7.49,10005,49,10041,49,31348,57,31348,51,49.97601,49.97202,PASSING,PASSED,PASSED,PASSED,988.2,1360,PASS,
ZJ2404122-001-1043,14.87,4.1,18.69,3.83,18.74,PASS,PASS,PASS,PASS,0.99,21.98,7.42,21.96,7.46,10003,49,10041,49,31373,57,31373,48,50.03603,50.01701,PASSING,PASSED,PASSED,PASSED,1015.2,981.6,FAIL,Failed FUNC_DIGITAL_5V_CHECK, 
ZJ2404122-001-1043,14.88,4,18.67,3.95,18.76,PASS,PASS,PASS,PASS,5.37,21.98,7.44,21.95,7.47,10003,49,10041,49,31373,57,31373,52,50.04103,50.02898,PASSED,PASSED,PASSED,PASSED,1021.4,1344,PASS,
ZJ2404122-001-1044,14.88,4.16,19.41,4.43,18.65,PASS,PASS,PASS,PASS,5.36,21.99,7.45,21.96,7.47,10003,49,10041,49,31360,57,31360,48,50.008,50.02804,PASSED,PASSED,FAILED,FAILED,999.4,1016,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1044,14.88,4.16,19.38,4.7,18.64,PASS,PASS,PASS,PASS,5.37,21.98,7.43,21.96,7.51,10003,49,10041,49,31348,57,31348,49,50.003,50.05807,PASSED,PASSED,PASSED,PASSED,1013,990.4,PASS,
