Serial #s, 
, , , , , , , , , , , Functional Test Parameters , , , , , , , , , , , , , , , , Gate Signal Test Parameters , 
   , Check Pos 15V,	CH2 Off Gate Voltage,	   CH1 On Gate Voltage,	CH1 Off Gate Voltage,	CH2 On Gate Voltage,   UVLO, OVLO, DSAT Hi, DSAT Lo,	Digital +5V, CH1 Pos Vunreg,	CH1 Neg Vunreg,	CH2 Pos Vunreg,	CH2 Neg Vunreg,	Ch1 Freq,	Ch1 Duty, Ch2 Freq,	Ch2 Duty,	TempFreq,	Temp Duty,	DCL Freq,	DCL Duty,	Ch1 Gate Trig Freq,	Ch2 Gate Trig Freq, 2L Aug Switch - Ch1, Aug Switch - Ch2, DSAT - Ch1, DSAT- Ch2, Deadtime - Ch1(ns), Deadtime - Ch2(ns), Result, Reason for Failure 
ZJ2404122-001-1045,14.87,4.08,18.73,3.93,18.83,PASS,PASS,PASS,PASS,5.35,21.97,7.43,21.95,7.46,10003,49,10041,49,31422,57,31422,48,50.01901,49.96699,PASSED,PASSED,FAILED,FAILED,988,1000.8,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1045,14.88,4.08,18.82,3.94,18.85,PASS,PASS,PASS,PASS,5.36,21.97,7.45,21.95,7.51,10004,49,10041,49,31410,57,31410,46,49.95704,49.94458,PASSING,PASSED,FAILED,FAILED,1001.8,988,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1046,14.88,4.07,18.67,4.02,18.68,PASS,PASS,PASS,PASS,5.33,21.97,7.44,21.94,7.45,10003,49,10041,49,31459,57,31459,48,50.009,49.99504,PASSING,PASSED,PASSED,PASSED,1015.8,968,PASS,
ZJ2404122-001-1047,14.88,4.01,18.74,3.93,18.77,PASS,PASS,PASS,PASS,5.35,21.99,7.44,21.92,7.45,10004,49,10041,49,31434,58,31434,49,49.96902,50.01601,PASSED,PASSED,PASSED,PASSED,994.4,1004.2,PASS,
ZJ2404122-001-1048,14.87,4.01,18.7,4.02,18.66,PASS,PASS,PASS,PASS,5.39,21.98,7.44,21.95,7.5,10003,49,10041,49,31422,57,31422,53,50.01601,50.01598,PASSING,PASSED,PASSED,PASSED,1004,998.4,PASS,
ZJ2404122-001-1049,14.87,4.02,18.7,4.12,18.64,PASS,PASS,PASS,PASS,5.35,21.98,7.44,21.95,7.45,10006,49,10041,49,31459,57,31459,48,49.995,50.00049,PASSING,PASSED,PASSED,PASSED,1007.6,975.2,PASS,
ZJ2404122-001-1050,14.88,4.04,18.8,4.02,18.87,PASS,PASS,PASS,PASS,5.39,21.98,7.43,21.95,7.46,10004,49,10041,49,31336,58,31336,47,49.97202,50.06658,PASSED,PASSED,PASSED,PASSED,1000.2,1004,PASS,
ZJ2404122-001-1051,14.87,4,18.81,3.77,18.57,PASS,PASS,PASS,PASS,5.37,21.97,7.43,21.94,7.45,10000,49,10041,49,31434,57,31447,47,50.007,50.06107,PASSED,PASSED,PASSED,PASSED,1011.2,990.4,PASS,
ZJ2404122-001-1052,14.88,4.05,18.62,4.02,18.66,PASS,PASS,PASS,PASS,5.36,21.98,7.45,21.95,7.45,10004,49,10041,49,31373,57,31373,49,50.01,50.01149,PASSED,PASSED,PASSED,PASSED,1033.6,988,PASS,
ZJ2404122-001-1053,14.87,3.97,18.73,4.05,18.71,PASS,PASS,PASS,PASS,5.35,21.98,7.43,21.95,7.46,10000,49,10041,49,31385,57,31385,49,50.02902,49.9291,PASSED,PASSED,PASSED,PASSED,995,985.6,PASS,
ZJ2404122-001-1054,14.87,3.98,18.73,3.94,18.66,PASS,PASS,PASS,PASS,5.35,21.99,7.44,21.97,7.45,10000,49,10041,49,31459,57,31459,53,49.95804,49.99198,PASSED,PASSED,PASSED,PASSED,1007.2,1002.4,PASS,
ZJ2404122-001-1055,14.87,4.1,18.6,3.93,18.66,PASS,PASS,PASS,PASS,1.01,21.99,7.44,21.94,7.44,10006,49,10041,49,31373,57,31373,48,49.91867,49.97102,PASSED,PASSED,PASSED,PASSED,1008.2,979.2,FAIL,Failed FUNC_DIGITAL_5V_CHECK, 
ZJ2404122-001-1055,14.88,4.05,18.63,3.95,18.67,PASS,PASS,PASS,PASS,5.36,21.99,7.44,21.95,7.45,10004,49,10041,49,31373,58,31373,47,49.98101,49.99,PASSED,PASSED,PASSED,PASSED,1007.2,977.6,PASS,
ZJ2404122-001-1056,14.87,4.05,18.63,3.87,18.83,PASS,PASS,PASS,PASS,5.34,21.98,7.44,21.95,7.45,10000,49,10041,49,31348,57,31348,49,50.004,50.03202,PASSING,PASSED,PASSED,PASSED,1015.2,1356.8,PASS,
ZJ2404122-001-1057,14.89,3.96,18.75,4.01,18.48,PASS,PASS,PASS,PASS,5.34,21.98,7.43,21.96,7.45,10004,49,10041,49,31385,57,31385,50,49.95604,50.07411,PASSED,PASSED,PASSED,PASSED,1005.6,966.4,PASS,
ZJ2404122-001-1058,14.89,4.05,18.72,3.96,18.79,PASS,PASS,PASS,PASS,5.37,21.98,7.43,21.97,7.45,10003,49,10041,49,31410,57,31410,49,50.03102,49.96502,PASSED,PASSED,PASSED,PASSED,1007.2,973,PASS,
ZJ2404122-001-1059,14.88,4.1,18.9,3.95,18.74,PASS,PASS,PASS,PASS,5.36,21.96,7.43,21.94,7.45,10004,49,10041,49,31459,57,31459,51,50.03002,49.95404,PASSED,PASSED,FAILED,FAILED,990.4,983,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1059,14.88,4.11,18.96,3.98,18.82,PASS,PASS,PASS,PASS,5.36,21.98,7.45,21.95,7.46,10005,49,10041,49,31447,58,31447,47,49.98701,50.05205,PASSED,PASSED,PASSED,PASSED,992.8,977.6,PASS,
ZJ2404122-001-1060,14.88,4.02,18.75,4.05,18.65,PASS,PASS,PASS,PASS,1,21.99,7.43,21.96,7.46,10003,49,10041,49,31360,57,31360,49,50.04604,50.02802,PASSED,PASSED,PASSED,PASSED,993.6,1018.4,FAIL,Failed FUNC_DIGITAL_5V_CHECK, 
ZJ2404122-001-1061,14.88,4.02,18.71,3.93,18.75,PASS,PASS,PASS,PASS,5.36,21.98,7.46,21.97,7.45,10006,49,10041,49,31410,57,31397,46,49.995,50.02298,PASSING,PASSED,PASSED,PASSED,1015.2,1359.2,PASS,
ZJ2404122-001-1062,14.9,4.04,18.55,4.08,18.67,PASS,PASS,PASS,PASS,5.34,21.96,7.43,21.97,7.49,10006,49,10041,49,31336,57,31336,49,50.04604,50.012,PASSED,PASSED,PASSED,PASSED,1016,979.2,PASS,
ZJ2404122-001-1063,14.87,4.06,18.75,3.83,18.62,PASS,PASS,PASS,PASS,5.35,21.95,7.43,21.96,7.45,10004,49,10041,49,31373,59,31373,45,50.02101,49.97501,PASSED,PASSED,PASSED,PASSED,1028.8,984.8,PASS,
ZJ2404122-001-1064,14.87,4.03,18.78,3.88,18.64,PASS,PASS,PASS,PASS,5.35,21.98,7.44,21.95,7.48,10001,49,10041,49,31422,57,31422,51,50.02101,49.99651,PASSED,PASSED,PASSED,PASSED,991.2,985.4,PASS,
ZJ2404122-001-1065,14.88,4.01,18.64,3.88,18.73,PASS,PASS,PASS,PASS,5.33,22,7.46,21.97,7.48,10005,49,10041,49,31447,57,31447,50,50.00704,50.05407,PASSED,PASSED,PASSED,PASSED,1006.4,1359.2,PASS,
ZJ2404122-001-1066,14.88,4,18.73,3.95,18.62,PASS,PASS,PASS,PASS,5.32,21.97,7.42,21.96,7.45,10005,49,10041,49,31385,57,31385,48,50.0295,50.02297,PASSED,PASSED,PASSED,PASSED,1008,989.6,PASS,
ZJ2404122-001-1067,14.9,4.11,18.64,3.91,18.72,PASS,PASS,PASS,PASS,5.37,21.99,7.43,21.98,7.45,10005,49,10041,49,31348,57,31348,48,49.95102,50.01401,PASSING,PASSED,PASSED,PASSED,1004.2,1350.4,PASS,
ZJ2404122-001-1068,14.88,4.14,18.54,3.9,18.68,PASS,PASS,PASS,PASS,5.31,21.97,7.43,21.97,7.46,10005,49,10041,49,31397,57,31385,48,50.09719,49.96051,PASSED,PASSED,PASSED,PASSED,1009,1014.4,PASS,
ZJ2404122-001-1069,14.87,4.01,18.81,3.9,18.61,PASS,PASS,PASS,PASS,5.25,21.99,7.43,21.96,7.45,10004,49,10041,49,31471,57,31471,49,50.01601,49.999,PASSED,PASSED,PASSED,PASSED,1012.8,978.4,PASS,
ZJ2404122-001-1070,14.89,4.01,18.72,3.94,18.66,PASS,PASS,PASS,PASS,5.36,21.99,7.43,21.96,7.45,10004,49,10041,49,31385,57,31385,49,49.993,50.01901,PASSED,PASSED,PASSED,PASSED,1008,993.8,PASS,
ZJ2404122-001-1071,14.88,4.01,18.66,4.05,18.7,PASS,PASS,PASS,PASS,5.33,22,7.44,21.96,7.45,10006,49,10041,49,31422,57,31422,46,50.03302,49.96151,PASSING,PASSED,PASSED,PASSED,1018.4,1362.4,PASS,
ZJ2404122-001-1072,14.88,4.04,18.84,3.96,18.73,PASS,PASS,PASS,PASS,5.33,21.98,7.42,21.97,7.49,10006,49,10041,49,31434,57,31434,45,49.96403,49.96602,PASSED,PASSED,PASSED,PASSED,1013.4,969.6,PASS,
ZJ2404122-001-1073,14.88,4.02,18.59,4.01,18.7,PASS,PASS,PASS,PASS,5.37,21.99,7.43,21.97,7.47,10004,49,10041,49,31422,57,31422,51,50.0731,49.98401,PASSING,PASSED,PASSED,PASSED,1012,1332.8,PASS,
ZJ2404122-001-1074,14.87,4.1,18.58,4.01,18.87,PASS,PASS,PASS,PASS,5.33,21.98,7.44,21.96,7.44,10003,49,10041,49,31434,58,31434,49,50.005,50.02305,PASSED,PASSED,PASSED,PASSED,987,1367.2,PASS,
ZJ2404122-001-1075,14.9,4,18.66,3.97,18.77,PASS,PASS,PASS,PASS,5.35,22,7.43,21.96,7.45,10003,49,10041,49,31484,56,31484,49,49.97301,49.9995,PASSED,PASSED,PASSED,PASSED,988.8,1343.2,PASS,
ZJ2404122-001-1076,14.87,4.03,18.7,3.99,18.7,PASS,PASS,PASS,PASS,5.32,21.98,7.44,21.94,7.44,10003,49,10041,49,31422,57,31422,47,50.05005,50.00697,PASSING,PASSED,PASSED,PASSED,1007.8,1340,PASS,
ZJ2404122-001-1077,14.87,4,18.67,3.92,18.63,PASS,PASS,PASS,PASS,5.34,22,7.45,21.97,7.45,10006,49,10041,49,31360,58,31360,50,49.9507,49.95655,PASSED,PASSED,FAILED,FAILED,1005.6,1357.6,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1077,14.88,4.02,18.72,3.97,18.71,PASS,PASS,PASS,PASS,5.35,22,7.44,21.97,7.45,10004,49,10041,49,31348,57,31348,46,50.0235,49.95553,PASSING,PASSED,PASSED,PASSED,1012,1007.2,PASS,
ZJ2404122-001-1078,14.87,4.06,18.6,3.9,18.7,PASS,PASS,PASS,PASS,5.34,22,7.46,21.96,7.49,10006,49,10041,49,31434,58,31422,45,49.90717,49.992,PASSED,PASSED,PASSED,PASSED,1012.8,973.6,PASS,
ZJ2404122-001-1079,14.87,4.2,19.1,4.6,18.72,PASS,PASS,PASS,PASS,5.39,22.01,7.43,21.96,7.44,10003,49,10041,49,31459,57,31459,49,50.01801,50.01,PASSED,PASSED,PASSED,PASSED,1004,989.6,PASS,
ZJ2404122-001-1080,14.89,4.19,18.59,3.96,18.71,PASS,PASS,PASS,PASS,0.98,22,7.42,21.97,7.45,10004,49,10041,49,31373,57,31373,49,49.98001,50.01601,PASSED,PASSED,PASSED,PASSED,995.2,981.6,FAIL,Failed FUNC_DIGITAL_5V_CHECK, 
ZJ2404122-001-1080,14.88,4.14,18.63,3.92,18.75,PASS,PASS,PASS,PASS,5.32,22,7.43,21.98,7.45,10001,49,10041,49,31348,56,31348,48,50.004,49.97801,PASSING,PASSED,PASSED,PASSED,1004,990.4,PASS,
ZJ2404122-001-1081,14.88,4.03,18.69,3.88,18.73,PASS,PASS,PASS,PASS,5.35,21.99,7.43,21.97,7.44,10003,49,10041,49,31508,57,31508,52,49.993,49.97551,PASSING,PASSED,FAILED,FAILED,980.8,980.8,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1081,14.87,4.2,18.76,3.94,18.78,PASS,PASS,PASS,PASS,5.35,21.99,7.47,21.96,7.45,10005,49,10041,49,31484,58,31484,50,49.93509,50.003,PASSED,PASSED,PASSED,PASSED,1012,985.6,PASS,
ZJ2404122-001-1082,14.89,4.03,18.68,4.1,18.61,PASS,PASS,PASS,PASS,5.35,22,7.44,21.98,7.48,10005,49,10041,49,31410,57,31410,45,49.99,49.98552,PASSED,PASSED,PASSED,PASSED,1004,977,PASS,
ZJ2404122-001-1083,14.88,4.04,18.62,3.88,18.68,PASS,PASS,PASS,PASS,5.36,21.99,7.43,21.97,7.49,10005,49,10041,49,31447,57,31447,47,50.02401,49.9281,PASSED,PASSED,PASSED,PASSED,988.2,1344.8,PASS,
ZJ2404122-001-1084,14.89,4.01,18.73,3.81,18.69,PASS,PASS,PASS,PASS,5.33,21.99,7.44,21.96,7.46,10004,49,10041,49,31447,58,31447,49,50.007,50.01,PASSED,PASSED,PASSED,PASSED,974.4,1021.6,PASS,
ZJ2404122-001-1085,14.89,3.93,18.73,4.12,18.61,PASS,PASS,PASS,PASS,5.35,21.97,7.46,21.96,7.49,10003,49,10041,49,31385,57,31385,53,49.96054,50.03402,PASSING,PASSED,PASSED,PASSED,1012,995.4,PASS,
ZJ2404122-001-1086,14.87,4.08,18.77,4.07,18.71,PASS,PASS,PASS,PASS,5.33,21.99,7.42,21.98,7.45,10003,49,10041,49,31422,57,31422,45,50.01001,50,PASSED,PASSED,PASSED,PASSED,1012.8,989.6,PASS,
ZJ2404122-001-1087,14.87,4.03,18.54,3.83,18.76,PASS,PASS,PASS,PASS,5.33,21.99,7.45,21.97,7.45,10005,49,10041,49,31496,57,31496,48,49.97701,50.1002,PASSED,PASSED,FAILED,FAILED,998.4,973.4,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1087,14.88,4.12,18.59,3.93,18.77,PASS,PASS,PASS,PASS,5.35,21.99,7.46,21.98,7.45,10001,49,10041,49,31484,57,31496,45,50.006,49.97801,PASSED,PASSED,FAILED,FAILED,1004.8,991.2,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1088,14.88,4.04,18.73,3.79,18.62,PASS,PASS,PASS,PASS,0.99,22,7.46,21.95,7.48,10003,49,10041,49,31397,57,31397,50,50.04855,50.014,PASSING,PASSED,PASSED,PASSED,1001,999.2,FAIL,Failed FUNC_DIGITAL_5V_CHECK, 
ZJ2404122-001-1088,14.89,4.12,18.76,3.73,18.68,PASS,PASS,PASS,PASS,5.36,22,7.44,21.95,7.48,10003,49,10041,49,31385,58,31385,49,49.99498,49.94805,PASSED,PASSED,FAILED,FAILED,1009.4,980,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1088,14.89,4.08,18.74,3.75,18.68,PASS,PASS,PASS,PASS,5.34,22,7.44,21.95,7.45,10001,49,10041,49,31410,57,31397,46,49.95205,49.96003,PASSING,PASSED,PASSED,PASSED,994.4,1008.8,FAIL,Failed FUNC_CLEAR_DSAT_HI, 
ZJ2404122-001-1089,14.88,4,18.74,3.96,18.65,PASS,PASS,PASS,PASS,5.34,21.99,7.43,21.96,7.44,10005,49,10041,49,31422,57,31422,46,49.95158,50.009,PASSED,PASSED,FAILED,FAILED,997.6,984.8,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1089,14.88,3.99,18.7,3.98,18.63,PASS,PASS,PASS,PASS,5.36,21.99,7.42,21.97,7.44,10005,49,10041,49,31410,57,31410,48,49.99,49.96403,PASSING,PASSED,PASSED,PASSED,1008,990.4,PASS,
ZJ2404122-001-1090,14.88,4.01,18.67,3.86,18.73,PASS,PASS,PASS,PASS,5.35,22,7.43,21.96,7.44,10001,49,10041,49,31360,57,31360,53,49.992,50.03102,PASSING,PASSED,PASSED,PASSED,992,988,PASS,
ZJ2404122-001-1091,14.88,3.97,18.57,3.84,18.68,PASS,PASS,PASS,PASS,5.38,21.99,7.42,21.96,7.48,10005,49,10041,49,31422,57,31422,48,50.01801,49.99952,PASSED,PASSED,PASSED,PASSED,1025.6,1000.2,PASS,
ZJ2404122-001-1092,14.87,4.05,18.7,3.99,18.66,PASS,PASS,PASS,PASS,5.35,22,7.42,21.97,7.45,10008,49,10041,49,31410,57,31410,46,49.94805,49.99904,PASSING,PASSED,FAILED,FAILED,994.4,990.4,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1092,14.88,4.07,18.71,4,18.7,PASS,PASS,PASS,PASS,5.35,22,7.44,21.97,7.47,10005,49,10041,49,31410,57,31422,47,50.04003,49.95608,PASSING,PASSED,PASSED,PASSED,997.6,1003.8,PASS,
ZJ2404122-001-1093,14.88,4,18.81,4.03,18.64,PASS,PASS,PASS,PASS,5.36,21.99,7.43,21.97,7.5,10001,49,10041,49,31397,58,31397,48,49.94107,50.05306,PASSED,PASSED,PASSED,PASSED,993.6,1348.8,PASS,
ZJ2404122-001-1094,14.87,3.96,18.63,3.98,18.7,PASS,PASS,PASS,PASS,5.34,22,7.42,21.96,7.49,10001,49,10041,49,31397,57,31397,49,50.05105,49.97501,PASSED,PASSED,FAILED,FAILED,1008.8,1005.6,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1094,14.88,4,18.71,3.95,18.66,PASS,PASS,PASS,PASS,5.35,22.01,7.42,21.97,7.46,10003,49,10041,49,31410,55,31410,52,50.07311,50.00148,PASSING,PASSED,PASSED,PASSED,986.6,979.2,PASS,
ZJ2404122-001-1095,14.88,4.02,18.61,3.93,18.65,PASS,PASS,PASS,PASS,5.33,21.96,7.42,21.97,7.45,10004,49,10041,49,31410,57,31397,47,50.002,49.95005,PASSING,PASSED,PASSED,PASSED,980.2,981.6,PASS,
ZJ2404122-001-1096,14.88,3.97,18.64,4.03,18.65,PASS,PASS,PASS,PASS,5.35,22,7.42,21.97,7.45,10004,49,10041,49,31397,57,31397,49,49.96103,50.004,PASSED,PASSED,PASSED,PASSED,996,997.8,PASS,
ZJ2404122-001-1097,14.89,3.94,18.67,3.99,18.65,PASS,PASS,PASS,PASS,5.35,21.96,7.43,21.97,7.48,10004,49,10041,49,31410,57,31410,49,50.00701,50.004,PASSED,PASSED,PASSED,PASSED,996,1354.4,PASS,
ZJ2404122-001-1098,14.88,4.17,18.63,3.98,18.68,PASS,PASS,PASS,PASS,5.33,22,7.44,21.97,7.44,10004,49,10041,49,31410,57,31410,50,49.96004,50.02401,PASSED,PASSED,PASSED,PASSED,1001.6,1024,PASS,
ZJ2404122-001-1099,14.88,4.48,18.69,3.69,19.33,PASS,PASS,PASS,PASS,5.32,22,7.42,21.97,7.44,10003,49,10041,49,31546,57,31546,49,50.04103,49.95804,PASSED,PASSED,PASSED,PASSED,1001.6,1344.8,PASS,
ZJ2404122-001-1100,14.87,4.04,18.63,3.89,18.56,PASS,PASS,PASS,PASS,5.35,22,7.43,21.97,7.46,10006,49,10041,49,31385,57,31385,48,50.04257,50.04404,PASSING,PASSED,PASSED,PASSED,1000.8,1006.4,PASS,
ZJ2404122-001-1087,14.9,4.1,18.51,3.95,18.81,PASS,PASS,PASS,PASS,5.32,22,7.43,21.97,7.44,10005,49,10041,49,31496,57,31496,48,50.02799,49.96003,PASSED,PASSED,PASSED,PASSED,988.6,1000,PASS,
ZJ2404122-001-1060,14.88,3.97,18.73,3.95,18.68,PASS,PASS,PASS,PASS,5.34,22.01,7.42,21.98,7.45,10004,49,10041,49,31348,57,31348,49,49.95404,49.9266,PASSED,PASSED,PASSED,PASSED,1017.4,1006.2,PASS,
ZJ2404122-001-1031,14.88,3.93,18.77,3.98,18.58,PASS,PASS,PASS,PASS,5.32,22,7.43,21.96,7.45,10004,49,10041,49,31410,57,31410,48,50.02401,49.9715,PASSING,PASSED,PASSED,PASSED,1016.8,992.2,PASS,
ZJ2404122-001-1038,14.89,4.03,18.62,3.94,18.63,PASS,PASS,PASS,PASS,5.36,22,7.43,21.97,7.46,10003,49,10041,49,31459,57,31459,50,50.01701,49.99,PASSED,PASSED,PASSED,PASSED,985.6,972,PASS,
ZJ2404122-001-1039,14.89,4.02,18.78,4.02,18.81,PASS,PASS,PASS,PASS,5.31,22.01,7.42,21.95,7.44,10004,49,10041,49,31397,57,31397,49,49.9281,50.06609,PASSING,PASSED,PASSED,PASSED,1002.4,985.6,PASS,
ZJ2404122-001-1045,14.88,4.06,18.72,3.81,18.84,PASS,PASS,PASS,PASS,5.35,22,7.43,21.95,7.46,10005,49,10041,49,31422,57,31410,48,49.98101,50.02101,PASSED,PASSED,PASSED,PASSED,985.6,992,PASS,
