Serial #s, 
, , , , , , , , , , , Functional Test Parameters , , , , , , , , , , , , , , , , Gate Signal Test Parameters , 
   , Check Pos 15V,	CH2 Off Gate Voltage,	   CH1 On Gate Voltage,	CH1 Off Gate Voltage,	CH2 On Gate Voltage,   UVLO, OVLO, DSAT Hi, DSAT Lo,	Digital +5V, CH1 Pos Vunreg,	CH1 Neg Vunreg,	CH2 Pos Vunreg,	CH2 Neg Vunreg,	Ch1 Freq,	Ch1 Duty, Ch2 Freq,	Ch2 Duty,	TempFreq,	Temp Duty,	DCL Freq,	DCL Duty,	Ch1 Gate Trig Freq,	Ch2 Gate Trig Freq, 2L Aug Switch - Ch1, Aug Switch - Ch2, DSAT - Ch1, DSAT- Ch2, Deadtime - Ch1(ns), Deadtime - Ch2(ns), Result, Reason for Failure 
ZJ2404122-001-1117,14.88,3.99,18.77,3.84,18.73,PASS,PASS,PASS,PASS,5.34,21.95,7.42,21.96,7.46,10003,49,10041,49,31311,57,31311,52,49.93708,50.06709,PASSED,PASSED,PASSED,PASSED,1020.8,1007.2,PASS,
ZJ2404122-001-1122,14.88,4,18.81,3.96,18.72,PASS,PASS,PASS,PASS,5.37,22,7.44,21.95,7.45,10003,49,10041,49,31422,57,31422,46,49.98101,50.06458,PASSED,PASSED,PASSED,PASSED,996,1379.2,PASS,
ZJ2404122-001-1123,14.87,4.04,18.61,3.74,18.77,PASS,PASS,PASS,PASS,5.33,21.97,7.45,21.94,7.48,10005,49,10041,49,31373,57,31373,52,49.98,50.01704,PASSING,PASSED,PASSED,PASSED,1003.2,1365.6,PASS,
ZJ2404122-001-1124,2.06,9.91E+34,9.91E+34,PASSING,PASSING,PASSING,PASSING,9.91E+46,9.91E+46,FAIL,Pos 15 V Check Failed , Failed Low Side Trigger Frequency Test , Failed High Side Trigger Frequency Test , Failed Low Side Deadtime Test , Failed High Side Deadtime Test 
ZJ2404122-001-1124,2.04,9.91E+34,9.91E+34,PASSING,PASSING,PASSING,PASSING,9.91E+46,9.91E+46,FAIL,Pos 15 V Check Failed , Failed Low Side Trigger Frequency Test , Failed High Side Trigger Frequency Test , Failed Low Side Deadtime Test , Failed High Side Deadtime Test 
ZJ2404122-001-1124,14.88,4.11,18.68,3.7,18.66,PASS,PASS,PASS,PASS,5.34,21.94,7.43,21.94,7.45,10003,49,10041,49,31397,58,31385,47,49.998,49.99403,PASSED,PASSED,PASSED,PASSED,990.4,1348,PASS,
ZJ2404122-001-1125,14.87,3.98,18.69,3.97,18.68,PASS,PASS,PASS,PASS,5.37,21.98,7.44,21.95,7.5,10004,49,10041,49,31422,57,31422,53,50.05306,49.98552,PASSED,PASSED,PASSED,PASSED,1007.2,993.6,PASS,
ZJ2404122-001-1126,14.87,4.04,18.66,4.01,18.7,PASS,PASS,PASS,PASS,5.36,21.97,7.43,21.94,7.44,10005,49,10041,49,31422,57,31422,52,50.04704,49.995,PASSING,PASSED,PASSED,PASSED,1012,1006.2,PASS,
ZJ2404122-001-1127,14.87,4.06,18.57,4.01,18.69,PASS,PASS,PASS,PASS,5.36,21.98,7.46,21.95,7.45,10005,49,10041,49,31459,58,31471,52,50.01898,49.96602,PASSED,PASSED,PASSED,PASSED,1000.8,990.4,PASS,
