Serial #s, 
, , , , , , , , , , Functional Test Parameters , , , , , , , , , , , , , , , Gate Signal Test Parameters , 
   , Check Pos 15V,	CH2 Off Gate Voltage,	   CH1 On Gate Voltage,	CH1 Off Gate Voltage,	CH2 On Gate Voltage,   UVLO, OVLO, 	Digital +5V, CH1 Pos Vunreg,	CH1 Neg Vunreg,	CH2 Pos Vunreg,	CH2 Neg Vunreg,	Ch1 Freq,	Ch1 Duty, Ch2 Freq,	Ch2 Duty,	TempFreq,	Temp Duty,	DCL Freq,	DCL Duty,	Ch1 Gate Trig Freq,	Ch2 Gate Trig Freq, 2L Aug Switch - Ch1, Aug Switch - Ch2, DSAT - Ch1, DSAT- Ch2, Deadtime - Ch1(ns), Deadtime - Ch2(ns), Result, Reason for Failure 
ZJ2404122-001-0019,14.89,3.93,18.79,3.86,18.87,PASS,PASS,5.36,21.98,7.46,21.95,7.46,10001.25,48.69,10041.42,48.95,31409.5,57.09,31409.5,47.51,50.06107,49.90319,PASSED,PASSED,FAILED,FAILED,998.4,1013.6,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0020,14.87,3.97,18.91,3.99,18.68,PASS,PASS,5.33,21.99,7.45,21.96,7.45,10005,48.79,10041.42,48.9,31458.91,57.45,31471.28,49.61,50.01701,49.997,PASSING,PASSED,PASSED,PASSED,987.2,963.2,PASS,
ZJ2404122-001-0021,14.87,4.1,18.6,4,18.95,PASS,PASS,5.38,21.99,7.43,21.95,7.46,10005,48.72,10041.42,48.89,31409.5,58.26,31409.5,49.47,50.02501,50.03803,PASSED,PASSED,FAILED,FAILED,989.6,1345.6,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0022,14.88,3.96,18.76,3.84,18.79,PASS,PASS,5.34,21.99,7.42,21.96,7.45,10003.75,48.72,10041.42,48.88,31397.17,57.89,31397.17,49.96,50.01801,49.95504,PASSED,PASSED,PASSED,PASSED,1020.8,980,PASS,
ZJ2404122-001-0023,14.88,4,18.77,4,18.7,PASS,PASS,5.34,21.99,7.43,21.97,7.44,10003.75,48.73,10041.42,48.91,31446.54,56.64,31446.54,49.06,49.97202,50.02001,PASSING,PASSED,PASSED,PASSED,1025.6,1000.8,PASS,
ZJ2404122-001-0024,14.88,4.02,18.77,3.94,18.76,PASS,PASS,5.34,21.99,7.42,21.97,7.45,10001.25,48.71,10041.42,48.88,31384.86,57.08,31384.86,45.27,50.003,50.06709,PASSED,PASSED,PASSED,PASSED,1014.4,988.8,PASS,
ZJ2404122-001-0025,14.88,4,18.89,3.96,18.73,PASS,PASS,5.32,22.01,7.43,21.97,7.46,10002.5,48.71,10041.42,48.86,31397.17,57.06,31409.5,48.21,50.00034,49.93907,PASSED,PASSED,PASSED,PASSED,1002.4,981.6,FAIL,
ZJ2404122-001-0026,14.88,4.01,18.56,3.8,18.74,PASS,PASS,5.33,22,7.43,21.97,7.44,10001.25,48.69,10041.42,48.88,31483.67,56.71,31471.28,45.75,49.95005,49.998,PASSING,PASSED,PASSED,PASSED,1028.6,980.8,PASS,Failed GenerateHiSideDSATFault Test,
ZJ2404122-001-0027,14.87,3.99,18.78,3.85,18.65,PASS,PASS,5.33,21.99,7.42,21.97,7.45,10002.5,48.72,10041.42,48.86,31372.55,57.02,31384.86,48.57,50.02151,49.96203,PASSED,PASSED,PASSED,PASSED,1027.2,988,PASS,
ZJ2404122-001-0028,14.88,4.03,18.69,3.85,18.82,PASS,PASS,5.35,22.06,7.44,21.96,7.45,10005,48.75,10041.42,48.88,31286.66,57.06,31286.66,52.48,50.006,50.007,PASSED,PASSED,FAILED,FAILED,1001.6,997.6,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0029,0.58,9.91E+34,9.91E+34,PASSING,PASSING,PASSING,PASSING,9.91E+46,9.91E+46,FAIL,Pos 15 V Check Failed , Failed Low Side Trigger Frequency Test , Failed High Side Trigger Frequency Test , Failed Low Side Deadtime Test , Failed High Side Deadtime Test 
ZJ2404122-001-0029,14.88,4.01,18.83,3.94,18.68,PASS,PASS,5.32,22,7.43,21.97,7.45,10002.5,48.74,10041.42,48.9,31397.17,57.46,31397.17,48,49.997,62.70539,PASSED,PASSED,PASSED,PASSED,1004.2,972,FAIL,Failed Test Output Voltage 15V,Failed GenerateLoSideDSATFault Test,Failed GenerateHiSideDSATFault Test,Failed High Side Trigger Frequency Test , 
ZJ2404122-001-0030,14.87,4.21,18.75,4.06,18.77,PASS,PASS,5.33,21.99,7.42,21.96,7.45,10000,48.71,10041.42,48.88,31434.18,57.49,31434.18,48.02,49.97503,49.97801,PASSED,PASSED,PASSED,PASSED,994.4,980.8,PASS,
ZJ2404122-001-0031,14.88,4.2,18.84,3.86,18.83,PASS,PASS,5.33,21.99,7.43,21.96,7.45,10000,48.69,10041.42,48.89,31397.17,57.85,31397.17,50.98,50.02101,50.04003,PASSING,PASSED,FAILED,FAILED,991.2,1006.4,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0031,14.88,4.13,18.75,3.96,18.87,PASS,PASS,5.34,21.99,7.44,21.97,7.46,10003.75,48.69,10041.42,48.89,31421.84,57.89,31421.84,47.84,50.012,50.015,PASSED,PASSED,PASSED,PASSED,998.4,987.4,PASS,
ZJ2404122-001-0032,14.88,4,18.93,3.88,18.79,PASS,PASS,5.35,21.99,7.43,21.97,7.45,10003.75,48.78,10041.42,48.88,31409.5,11.78,31409.5,49.08,49.93209,50.06809,PASSED,PASSED,PASSED,PASSED,1007.4,989.6,FAIL,Failed TestTempraturePWMFreq,
ZJ2404122-001-0032,14.88,4.03,18.93,3.89,18.93,PASS,PASS,5.34,22,7.46,21.97,7.49,10005,48.72,10041.42,48.88,31384.86,57.87,31384.86,47.59,49.97701,50.06709,PASSED,PASSED,FAILED,FAILED,989.6,988.2,FAIL,Failed during Clear Lo Side DSAT Fault Test,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0033,14.89,4.07,18.77,3.93,18.91,PASS,PASS,5.34,22,7.43,21.97,7.45,10001.25,48.69,10041.42,48.88,31372.55,57.06,31372.55,51.33,49.93143,49.96302,PASSED,PASSED,PASSED,PASSED,1008,982.4,PASS,
ZJ2404122-001-0034,14.87,3.99,18.74,3.91,18.73,PASS,PASS,5.33,22,7.43,21.97,7.44,10003.75,48.73,10041.42,48.86,31471.28,57.08,31471.28,52.68,49.98101,50.04103,PASSED,PASSED,PASSED,PASSED,1017,985.6,PASS,
