Serial #s, 
, , , , , , , , , , , Functional Test Parameters , , , , , , , , , , , , , , , , Gate Signal Test Parameters , 
   , Check Pos 15V,	CH2 Off Gate Voltage,	   CH1 On Gate Voltage,	CH1 Off Gate Voltage,	CH2 On Gate Voltage,   UVLO, OVLO, DSAT Hi, DSAT Lo,	Digital +5V, CH1 Pos Vunreg,	CH1 Neg Vunreg,	CH2 Pos Vunreg,	CH2 Neg Vunreg,	Ch1 Freq,	Ch1 Duty, Ch2 Freq,	Ch2 Duty,	TempFreq,	Temp Duty,	DCL Freq,	DCL Duty,	Ch1 Gate Trig Freq,	Ch2 Gate Trig Freq, 2L Aug Switch - Ch1, Aug Switch - Ch2, DSAT - Ch1, DSAT- Ch2, Deadtime - Ch1(ns), Deadtime - Ch2(ns), Result, Reason for Failure 
ZJ2404122-001-1140,14.88,3.96,18.73,3.92,18.72,PASS,PASS,PASS,PASS,5.32,22.04,7.41,22,7.46,10004,49,10041,49,31373,57,31373,48,49.987,50.00952,PASSED,PASSED,FAILED,FAILED,1008.8,1007.4,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1140,14.91,3.95,18.82,3.92,18.78,PASS,PASS,PASS,PASS,5.32,22.04,7.43,22,7.43,10001,49,10041,49,31360,57,31360,48,50.014,49.99604,PASSED,PASSED,FAILED,FAILED,1001.6,1000.8,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1135,14.89,4.01,18.66,3.9,18.75,PASS,PASS,PASS,PASS,5.31,22.04,7.42,22,7.44,10000,49,10041,49,31447,57,31447,45,50.012,50.04052,PASSED,PASSED,PASSED,PASSED,975.2,991.2,PASS,
ZJ2404122-001-1141,14.88,4.12,18.67,3.97,18.77,PASS,PASS,PASS,PASS,5.3,22.03,7.41,22,7.42,10003,49,10041,49,31336,57,31336,49,50.04507,49.991,PASSED,PASSED,PASSED,PASSED,1029.6,994.4,PASS,
ZJ2404122-001-1142,14.89,4.04,18.59,3.96,18.7,PASS,PASS,PASS,PASS,5.32,22.04,7.41,22.01,7.43,10004,49,10041,49,31434,57,31434,45,50.03703,49.94355,PASSED,PASSED,PASSED,PASSED,1002.4,992,PASS,
ZJ2404122-001-1128,14.88,4.02,18.53,3.84,18.66,PASS,PASS,PASS,PASS,5.28,22.02,7.41,22,7.44,10005,49,10041,49,31397,57,31397,48,49.95903,49.95404,PASSED,PASSED,PASSED,PASSED,999.2,982.4,PASS,
ZJ2404122-001-0748,14.88,2.76,18,0,17.79,PASS,PASS,FAIL,PASS,5.32,22.1,7.44,22.08,7.46,10003,49,10041,7,31434,3,31447,4,8052.81102,49.96952,PASSING,FAILED,PASSING,PASSING,9.91E+46,9.91E+46,FAIL,Failed FUNC_CH1ONOFFVOLTAGECHECK, Failed FUNC_CH2ONOFFVOLTAGECHECK, Failed FUNC_TEMPMON_CHECK, Failed FUNC_DCLINKMON_CHECK, Failed FUNC_CH2TRIG_CHECK, Failed Low Side Trigger Frequency Test , Failed Hi Side Augmented Switching Test , Failed Low Side Deadtime Test , Failed High Side Deadtime Test 
ZJ2404122-001-1143,14.91,3.94,18.72,3.82,18.68,PASS,PASS,PASS,PASS,5.32,22.03,7.43,22,7.43,10001,49,10041,49,31385,57,31373,49,49.97801,50.01204,PASSED,PASSED,PASSED,PASSED,1016,995.2,PASS,
ZJ2404122-001-1144,14.88,3.98,18.71,4.01,18.88,PASS,PASS,PASS,PASS,5.31,22.02,7.42,22.01,7.43,10001,49,10041,49,31373,57,31385,49,49.9281,50.01404,PASSED,PASSED,FAILED,FAILED,1011.4,1349.6,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1144,14.89,4.02,18.7,4.06,18.91,PASS,PASS,PASS,PASS,5.33,22.02,7.43,22,7.48,10003,49,10041,49,31373,58,31373,49,49.9301,49.98149,PASSED,PASSED,PASSED,PASSED,1019.2,1366.4,PASS,
ZJ2404122-001-1145,14.88,3.98,18.59,3.86,18.77,PASS,PASS,PASS,PASS,5.33,22.02,7.41,22,7.42,10004,49,10041,49,31360,58,31360,49,49.991,49.98201,PASSED,PASSED,PASSED,PASSED,1008,1330.4,PASS,
ZJ2404122-001-1146,14.88,4.11,18.76,3.92,18.78,PASS,PASS,PASS,PASS,5.36,22.02,7.44,22,7.43,10005,49,10041,49,31397,57,31397,47,50.00002,50.01601,PASSED,PASSED,PASSED,PASSED,1012.8,1348,PASS,
ZJ2404122-001-1147,14.88,4.01,18.78,4.01,18.72,PASS,PASS,PASS,PASS,5.32,22.02,7.42,21.99,7.43,10001,49,10041,49,31434,57,31434,48,49.998,50.03202,PASSED,PASSED,PASSED,PASSED,984.8,983.2,PASS,
ZJ2404122-001-1148,14.88,3.93,18.79,3.98,18.65,PASS,PASS,PASS,PASS,5.34,22.03,7.42,21.99,7.43,10005,49,10041,49,31459,56,31459,52,50.02301,50.01149,PASSED,PASSED,PASSED,PASSED,989.6,1336.8,PASS,
ZJ2404122-001-1149,14.88,4.16,18.94,3.92,18.8,PASS,PASS,PASS,PASS,5.32,22.03,7.4,22,7.44,10004,49,10041,49,31373,57,31373,48,49.999,50.01148,PASSED,PASSED,PASSED,PASSED,1033.6,993.6,PASS,
ZJ2404122-001-1150,14.88,4.23,19.68,4.81,18.71,PASS,PASS,PASS,PASS,5.36,22.04,7.42,21.99,7.43,10004,49,10041,49,31385,57,31373,48,49.94853,50.02401,PASSED,PASSED,PASSED,PASSED,1005,992.8,PASS,
ZJ2404122-001-1151,14.88,4.06,18.64,3.93,18.69,PASS,PASS,PASS,PASS,5.29,22.02,7.41,22,7.44,10001,49,10041,49,31459,58,31459,51,49.98201,50.0691,PASSED,PASSED,PASSED,PASSED,1007.8,1373.6,PASS,
ZJ2404122-001-1152,14.89,3.95,18.72,3.96,18.66,PASS,PASS,PASS,PASS,5.31,22.02,7.41,21.98,7.43,10003,49,10041,49,31397,57,31397,52,50.05807,50,PASSED,PASSED,PASSED,PASSED,1001.6,978.2,PASS,
ZJ2404122-001-1153,14.89,4.01,18.77,3.95,18.63,PASS,PASS,PASS,PASS,5.34,22.02,7.42,21.99,7.43,10005,49,10041,49,31323,57,31323,48,50.004,49.95105,PASSED,PASSED,PASSED,PASSED,1012,1020.8,PASS,
ZJ2404122-001-1154,14.9,3.98,18.74,3.93,18.86,PASS,PASS,PASS,PASS,5.3,22.03,7.41,22,7.43,10005,49,10041,49,31336,57,31336,48,49.97102,50.05603,PASSED,PASSED,FAILED,FAILED,1016.8,970.4,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1154,14.88,4.08,18.78,4.08,18.95,PASS,PASS,PASS,PASS,5.3,22.03,7.42,22.01,7.44,10006,49,10041,49,31336,57,31336,48,50.03502,49.96199,PASSED,PASSED,PASSED,PASSED,1012,987.2,PASS,
ZJ2404122-001-1155,14.88,4.06,18.69,3.8,18.85,PASS,PASS,PASS,PASS,5.33,22.02,7.42,21.99,7.45,10005,49,10041,49,31422,57,31422,49,49.97901,49.98401,PASSING,PASSED,PASSED,PASSED,993.8,968,PASS,
ZJ2404122-001-1156,14.89,4.02,18.66,4.05,18.83,PASS,PASS,PASS,PASS,5.33,22.02,7.42,22,7.43,10008,49,10041,49,31471,57,31471,46,50.007,50.03102,PASSED,PASSED,PASSED,PASSED,1026.4,998.4,PASS,
ZJ2404122-001-1157,14.88,4.17,18.66,3.89,18.77,PASS,PASS,PASS,PASS,5.34,22.02,7.41,22.01,7.44,10000,49,10041,49,31410,57,31410,47,50.01701,49.988,PASSING,PASSED,PASSED,PASSED,1017,970.4,PASS,
ZJ2404122-001-1158,14.88,4.11,19.35,4.68,18.72,PASS,PASS,PASS,PASS,5.3,22.03,7.41,22,7.43,10003,49,10041,49,31471,57,31471,49,49.9675,49.97801,PASSED,PASSED,PASSED,PASSED,995.2,1000.8,PASS,
ZJ2404122-001-1159,14.9,4.06,18.66,3.9,18.65,PASS,PASS,PASS,PASS,5.33,22.03,7.41,22,7.44,10004,49,10041,49,31385,57,31397,45,49.95205,50.001,PASSED,PASSED,PASSED,PASSED,1009.6,997.6,PASS,
ZJ2404122-001-1160,14.89,3.95,18.85,4.01,18.82,PASS,PASS,PASS,PASS,5.3,22.02,7.45,21.99,7.43,10001,49,10041,49,31373,57,31373,47,50.04504,50.015,PASSED,PASSED,PASSED,PASSED,1020.8,1004,PASS,
ZJ2404122-001-1161,14.88,4.46,18.77,3.95,18.65,PASS,PASS,PASS,PASS,5.31,22.02,7.41,21.98,7.43,10001,49,10041,49,31323,57,31323,48,49.996,50.05807,PASSING,PASSED,PASSED,PASSED,999.2,999.8,PASS,
ZJ2404122-001-1162,14.87,4.02,18.52,3.98,18.81,PASS,PASS,PASS,PASS,5.29,22.03,7.42,22,7.43,10004,49,10041,49,31422,57,31422,49,50.03502,50.03002,PASSING,PASSED,PASSED,PASSED,1004,982.4,PASS,
ZJ2404122-001-1163,14.88,4.24,19.38,4.72,18.88,PASS,PASS,PASS,PASS,5.31,22,7.41,21.99,7.45,10005,49,10041,49,31385,58,31385,48,50.02001,50.03402,PASSED,PASSED,PASSED,PASSED,1024.8,990.6,PASS,
ZJ2404122-001-1131,14.88,4.05,18.64,3.81,18.7,PASS,PASS,PASS,PASS,5.33,22.02,7.41,21.99,7.44,10003,49,10041,49,31447,57,31447,49,50.003,49.96351,PASSING,PASSED,PASSED,PASSED,1003.2,1336,PASS,
ZJ2404122-001-1164,14.88,4.15,18.78,3.9,18.65,PASS,PASS,PASS,PASS,5.32,22.02,7.41,22,7.48,10003,49,10041,49,31360,57,31360,49,50.012,49.96203,PASSED,PASSED,FAILED,FAILED,983.2,979.2,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1164,14.88,4.16,18.85,3.96,18.66,PASS,PASS,PASS,PASS,5.3,22.02,7.41,22,7.44,10004,49,10041,49,31360,58,31360,48,49.97003,50.03603,PASSING,PASSED,FAILED,FAILED,1005,975.2,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1164,14.89,4.18,18.9,3.91,18.67,PASS,PASS,PASS,PASS,5.3,22.02,7.42,22,7.44,10005,49,10041,49,31360,58,31360,45,49.96454,50.01701,PASSED,PASSED,PASSED,PASSED,1000.2,995.8,PASS,
ZJ2404122-001-1165,14.88,3.92,18.59,3.88,18.79,PASS,PASS,PASS,PASS,5.33,22.02,7.41,22,7.44,10003,49,10041,49,31422,57,31410,46,50.01801,50.0055,PASSED,PASSED,PASSED,PASSED,1001.4,1373.6,PASS,
ZJ2404122-001-1166,14.89,4.5,18.73,4.2,18.97,PASS,PASS,PASS,PASS,5.3,22.03,7.41,21.99,7.43,10001,49,10041,49,31373,57,31373,52,49.94406,50.02301,PASSING,PASSED,PASSED,PASSED,989.6,994.4,PASS,
ZJ2404122-001-1137,14.89,4.22,19.54,4.35,18.73,PASS,PASS,PASS,PASS,0.96,22.02,7.44,21.99,7.44,10004,49,10041,49,31299,57,31287,49,49.992,49.96751,PASSED,PASSED,FAILED,FAILED,994.6,1345.6,FAIL,Failed FUNC_DIGITAL_5V_CHECK, Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1137,14.89,4.21,19.34,4.6,18.73,PASS,PASS,PASS,PASS,5.33,22.02,7.42,21.99,7.44,10004,49,10041,49,31250,57,31250,49,50,49.993,PASSING,PASSED,PASSED,PASSED,1018.4,992,PASS,
ZJ2404122-001-1133,14.88,4.14,18.7,4.03,18.68,PASS,PASS,PASS,PASS,5.33,22.02,7.42,21.99,7.42,10001,49,10041,49,31422,56,31422,49,49.97951,49.988,PASSED,PASSED,PASSED,PASSED,1008,985.6,PASS,
ZJ2404122-001-1140,14.87,4.01,18.75,3.93,18.73,PASS,PASS,PASS,PASS,5.34,22.02,7.43,21.99,7.44,10004,49,10041,49,31385,57,31385,48,50.02301,49.95755,PASSING,PASSED,PASSED,PASSED,985.4,983.2,PASS,
ZJ2404122-001-1136,14.88,4.03,18.8,3.83,18.7,PASS,PASS,PASS,PASS,5.31,21.99,7.41,21.99,7.43,10004,49,10041,49,31471,58,31471,48,50.02501,49.93808,PASSED,PASSED,PASSED,PASSED,1016,1004.8,PASS,
ZJ2404122-001-1167,14.88,4.01,18.75,4,18.69,PASS,PASS,PASS,PASS,5.33,22.02,7.42,21.99,7.43,10004,49,10041,49,31422,57,31422,49,49.95451,49.992,PASSED,PASSED,PASSED,PASSED,1021.8,991.2,PASS,
ZJ2404122-001-1168,14.9,4.01,18.73,3.85,18.72,PASS,PASS,PASS,PASS,5.34,22.02,7.42,21.99,7.41,10003,49,10041,49,31459,57,31459,52,50.08715,49.97102,PASSED,PASSED,PASSED,PASSED,999.2,1008,PASS,
ZJ2404122-001-1169,14.88,3.98,18.73,4.12,18.75,PASS,PASS,PASS,PASS,0.95,22.02,7.4,21.99,7.43,10006,49,10041,49,31311,57,31311,48,49.99001,50.02202,PASSED,PASSED,PASSED,PASSED,1009.6,1332,FAIL,Failed FUNC_DIGITAL_5V_CHECK, 
ZJ2404122-001-1169,14.88,4.02,18.84,4,18.78,PASS,PASS,PASS,PASS,0.91,22.02,7.44,21.99,7.47,10004,49,10041,49,31311,58,31311,48,50.012,50.001,PASSED,PASSED,PASSED,PASSED,1004.8,1343.2,FAIL,Failed FUNC_DIGITAL_5V_CHECK, 
ZJ2404122-001-1169,14.88,3.98,18.77,4.02,18.8,PASS,PASS,PASS,PASS,0.95,22.02,7.42,21.99,7.44,10006,49,10041,49,31311,57,31311,48,50.07812,50.011,PASSED,PASSED,PASSED,PASSED,1001.4,1360,FAIL,Failed FUNC_DIGITAL_5V_CHECK, 
ZJ2404122-001-1170,14.88,4.15,18.6,3.85,18.82,PASS,PASS,PASS,PASS,5.35,22.02,7.43,22,7.49,10004,49,10041,49,31422,57,31422,47,49.97801,49.97301,PASSED,PASSED,PASSED,PASSED,996.2,998.4,PASS,
ZJ2404122-001-1171,14.88,3.92,18.7,3.82,18.63,PASS,PASS,PASS,PASS,5.33,22.02,7.42,21.98,7.43,10003,49,10041,49,31360,57,31360,49,49.985,50.02601,PASSED,PASSED,PASSED,PASSED,1010.6,1001.6,PASS,
ZJ2404122-001-1172,14.87,4.02,18.68,3.91,18.72,PASS,PASS,PASS,PASS,5.34,22.02,7.44,22,7.44,10000,49,10041,49,31422,57,31422,49,50.02601,50.03599,PASSING,PASSED,PASSED,PASSED,1011,985.6,PASS,
ZJ2404122-001-1173,14.9,3.94,18.71,3.94,18.73,PASS,PASS,PASS,PASS,5.33,22.02,7.42,21.99,7.44,10000,49,10041,49,31348,57,31348,50,49.94606,50.01601,PASSED,PASSED,PASSED,PASSED,992.2,1368.8,PASS,
ZJ2404122-001-1174,14.89,4.06,18.72,3.83,18.73,PASS,PASS,PASS,PASS,5.33,22.01,7.41,21.99,7.41,10006,49,10041,49,31422,57,31422,49,50.02605,49.98848,PASSED,PASSED,PASSED,PASSED,1029.4,1004.8,PASS,
ZJ2404122-001-1175,14.88,4.04,18.82,4,18.75,PASS,PASS,PASS,PASS,5.3,22.01,7.44,21.98,7.46,10003,49,10041,49,31373,57,31373,52,50.05406,50.03002,PASSED,PASSED,PASSED,PASSED,1022.4,979.2,PASS,
ZJ2404122-001-1176,14.88,4.05,18.7,3.93,18.68,PASS,PASS,PASS,PASS,5.32,22.02,7.42,21.99,7.44,10004,49,10041,49,31422,58,31422,49,50.04704,50.05205,PASSED,PASSED,PASSED,PASSED,985,982.4,PASS,
ZJ2404122-001-1177,14.88,3.98,18.75,3.92,18.74,PASS,PASS,PASS,PASS,5.35,22.02,7.41,21.99,7.44,10003,49,10041,49,31397,56,31397,51,50.01801,50.05907,PASSED,PASSED,FAILED,FAILED,985.6,988.2,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1177,14.88,4.01,18.82,3.95,18.81,PASS,PASS,PASS,PASS,5.35,22.02,7.42,21.98,7.44,10004,49,10041,49,31373,57,31373,46,49.96602,50.01801,PASSED,PASSED,PASSED,PASSED,1004.8,990.6,PASS,
ZJ2404122-001-1178,14.88,4.01,18.73,3.75,18.88,PASS,PASS,PASS,PASS,5.34,22.01,7.41,21.99,7.44,10003,49,10041,49,31397,57,31397,49,50.03102,50.04805,PASSING,PASSED,PASSED,PASSED,1002.4,1328.8,PASS,
ZJ2404122-001-1179,14.89,3.96,18.74,3.82,18.72,PASS,PASS,PASS,PASS,5.35,22.01,7.42,21.97,7.44,10004,49,10041,49,31397,59,31410,52,49.97701,49.991,PASSED,PASSED,PASSED,PASSED,1026.4,974.6,PASS,
ZJ2404122-001-1180,14.88,4.02,18.8,3.83,18.77,PASS,PASS,PASS,PASS,5.3,22.01,7.42,21.99,7.43,10004,49,10041,49,31360,57,31360,47,49.999,49.992,PASSING,PASSED,PASSED,PASSED,1031.8,1340,PASS,
ZJ2404122-001-1181,14.88,4,18.77,3.97,18.74,PASS,PASS,PASS,PASS,5.38,22.01,7.42,21.98,7.44,10003,49,10041,49,31397,57,31397,45,50.009,50,PASSING,PASSED,PASSED,PASSED,1024,963.8,PASS,
ZJ2404122-001-1182,14.89,3.98,18.78,3.95,18.8,PASS,PASS,PASS,PASS,5.32,22.02,7.43,21.97,7.43,10004,49,10041,49,31397,57,31397,50,50.07612,50.03402,PASSED,PASSED,PASSED,PASSED,996,1378.4,PASS,
ZJ2404122-001-1183,14.88,4.03,18.76,3.92,18.6,PASS,PASS,PASS,PASS,5.32,22,7.41,21.97,7.47,10005,49,10041,49,31373,58,31373,48,49.93409,49.989,PASSED,PASSED,PASSED,PASSED,1011.2,1355.2,PASS,
ZJ2404122-001-1169,14.88,3.99,18.78,3.9,18.76,PASS,PASS,PASS,PASS,0.95,22.01,7.41,21.98,7.43,10003,49,10041,49,31299,58,31299,47,49.96901,50.003,PASSED,PASSED,FAILED,FAILED,1027.2,1356.8,FAIL,Failed FUNC_DIGITAL_5V_CHECK, Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1184,14.89,4,18.67,3.86,18.72,PASS,PASS,PASS,PASS,5.31,22.02,7.42,21.98,7.44,10005,49,10041,49,31434,57,31434,49,49.96702,50.007,PASSED,PASSED,PASSED,PASSED,1030.4,992.8,PASS,
ZJ2404122-001-1185,14.89,4.13,18.78,3.92,18.74,PASS,PASS,PASS,PASS,5.29,22.02,7.43,21.99,7.45,10004,49,10041,49,31422,57,31422,48,49.95105,49.96451,PASSED,PASSED,PASSED,PASSED,1013.6,1005.6,PASS,
ZJ2404122-001-1186,14.88,4.12,18.78,3.93,18.69,PASS,PASS,PASS,PASS,5.33,22.01,7.41,22,7.48,10003,49,10041,49,31323,57,31323,52,50.09418,50,PASSED,PASSED,FAILED,FAILED,986.2,996,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1186,14.89,4.11,18.79,3.95,18.69,PASS,PASS,PASS,PASS,5.33,22.01,7.42,22,7.47,10003,49,10041,49,31336,57,31336,52,50.04555,49.96502,PASSING,PASSED,PASSED,PASSED,1000.8,1002.4,PASS,
ZJ2404122-001-1187,14.87,3.99,18.76,3.95,18.7,PASS,PASS,PASS,PASS,5.37,22.02,7.41,22.02,7.43,10001,49,10041,49,31373,57,31373,49,50.08414,49.988,PASSED,PASSED,FAILED,FAILED,992,998.2,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1187,14.88,4.05,18.79,3.95,18.7,PASS,PASS,PASS,PASS,5.37,22.02,7.43,21.99,7.44,10003,49,10041,49,31360,58,31360,48,49.97051,49.986,PASSED,PASSED,PASSED,PASSED,1006.4,991.2,PASS,
ZJ2404122-001-1188,14.89,3.91,18.7,3.91,18.63,PASS,PASS,PASS,PASS,0.94,22.02,7.43,21.98,7.44,10005,49,10041,49,31508,57,31508,49,49.987,50.05102,PASSED,PASSED,PASSED,PASSED,998.2,972.2,FAIL,Failed FUNC_DIGITAL_5V_CHECK, 
ZJ2404122-001-1188,14.87,4.01,18.76,3.94,18.62,PASS,PASS,PASS,PASS,0.95,21.99,7.43,21.99,7.44,10003,49,10041,49,31484,57,31484,53,50.00853,49.96902,PASSING,PASSED,PASSED,PASSED,1015.2,960,FAIL,Failed FUNC_DIGITAL_5V_CHECK, 
ZJ2404122-001-1188,14.88,3.94,18.72,3.93,18.69,PASS,PASS,PASS,PASS,0.94,22,7.43,21.99,7.44,10001,49,10041,49,31496,57,31496,45,50.01701,49.96003,PASSED,PASSED,PASSED,PASSED,1012,979.4,FAIL,Failed FUNC_DIGITAL_5V_CHECK, 
ZJ2404122-001-1189,14.88,4.25,19.05,4.67,18.89,PASS,PASS,PASS,PASS,5.31,22.02,7.41,22,7.43,10004,49,10041,49,31422,58,31422,47,50.02902,50.01,PASSED,PASSED,PASSED,PASSED,987.2,978.4,PASS,
ZJ2404122-001-1190,14.89,3.96,18.63,3.92,18.73,PASS,PASS,PASS,PASS,5.35,22,7.42,21.98,7.45,10001,49,10041,49,31360,57,31360,52,50.02101,49.95604,PASSED,PASSED,FAILED,FAILED,1008.8,1361.6,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1190,14.88,3.97,18.66,4,18.77,PASS,PASS,PASS,PASS,5.35,22,7.43,21.98,7.44,10005,49,10041,49,31360,57,31360,48,50.03452,49.996,PASSED,PASSED,FAILED,FAILED,1039.4,1351.2,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1190,14.88,4.08,18.64,4.03,18.7,PASS,PASS,PASS,PASS,5.34,22,7.44,21.97,7.44,10003,49,10041,49,31348,56,31348,46,50,50.02401,PASSING,PASSED,PASSED,PASSED,1007.2,996,PASS,
ZJ2404122-001-1191,14.88,4.01,18.66,3.84,18.77,PASS,PASS,PASS,PASS,5.32,22.02,7.42,21.98,7.43,10005,49,10041,49,31323,58,31323,48,50.04504,50.01797,PASSED,PASSED,PASSED,PASSED,1021.6,1348,PASS,
ZJ2404122-001-1192,14.88,4.03,18.6,3.95,18.7,PASS,PASS,PASS,PASS,5.34,22,7.43,21.99,7.44,10005,49,10041,49,31373,57,31373,52,50.05105,49.9715,PASSED,PASSED,PASSED,PASSED,1007,1008,PASS,
ZJ2404122-001-1193,14.88,3.94,18.88,3.97,18.86,PASS,PASS,PASS,PASS,5.33,22.01,7.42,21.98,7.48,10004,49,10041,49,31397,57,31397,49,50.005,49.97401,PASSED,PASSED,PASSED,PASSED,1021.8,962.6,PASS,
ZJ2404122-001-1194,14.88,3.96,18.69,3.93,18.72,PASS,PASS,PASS,PASS,5.33,21.98,7.42,21.97,7.49,10003,49,10041,49,31459,57,31459,47,49.96802,49.9985,PASSED,PASSED,FAILED,FAILED,1005.4,1363.2,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
KF2405070021098187,14.88,3.98,18.76,3.94,18.79,PASS,PASS,PASS,PASS,5.33,21.98,7.43,21.99,7.47,10003,49,10041,49,31434,57,31434,48,49.96103,49.93957,PASSED,PASSED,PASSED,PASSED,1002.4,1388.8,PASS,
ZJ2404122-001-1195,14.88,4,18.73,3.88,18.73,PASS,PASS,PASS,PASS,5.36,22,7.42,21.98,7.43,10004,49,10041,49,31484,58,31484,49,49.988,49.97301,PASSED,PASSED,FAILED,FAILED,1016,1345.6,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1195,14.88,4.05,18.79,3.84,18.79,PASS,PASS,PASS,PASS,5.35,22.01,7.44,21.97,7.43,10004,49,10041,49,31471,58,31471,49,49.95504,50.00403,PASSED,PASSED,PASSED,PASSED,1032,1357.6,PASS,
