Serial #s, 
, , , , , , , , , , , Functional Test Parameters , , , , , , , , , , , , , , , , Gate Signal Test Parameters , 
   , Check Pos 15V,	CH2 Off Gate Voltage,	   CH1 On Gate Voltage,	CH1 Off Gate Voltage,	CH2 On Gate Voltage,   UVLO, OVLO, DSAT Hi, DSAT Lo,	Digital +5V, CH1 Pos Vunreg,	CH1 Neg Vunreg,	CH2 Pos Vunreg,	CH2 Neg Vunreg,	Ch1 Freq,	Ch1 Duty, Ch2 Freq,	Ch2 Duty,	TempFreq,	Temp Duty,	DCL Freq,	DCL Duty,	Ch1 Gate Trig Freq,	Ch2 Gate Trig Freq, 2L Aug Switch - Ch1, Aug Switch - Ch2, DSAT - Ch1, DSAT- Ch2, Deadtime - Ch1(ns), Deadtime - Ch2(ns), Result, Reason for Failure 
test,14.9,3.92,18.73,3.9,18.65,PASS,PASS,PASS,PASS,0.85,22.09,7.39,22.07,7.42,10003,49,10041,49,31397,57,31397,49,49.987,49.97701,PASSED,PASSED,PASSED,PASSED,989.6,1004.6,FAIL,Failed FUNC_DIGITAL_5V_CHECK, 
ZJ2404122-001-1130,14.9,3.93,18.66,3.87,18.68,PASS,PASS,PASS,PASS,5.27,22.07,7.4,22.06,7.42,10004,49,10041,49,31459,57,31447,48,50.03803,50.05202,PASSED,PASSED,PASSED,PASSED,984,992.8,PASS,
ZJ2404122-001-1138,14.89,3.96,18.76,3.97,18.75,PASS,PASS,PASS,PASS,5.31,22.05,7.41,22.02,7.43,10003,49,10041,49,31410,58,31410,49,49.97501,50.013,PASSED,PASSED,PASSED,PASSED,1012.8,972.8,PASS,
ZJ2404122-001-1134,14.88,4.03,18.75,3.89,18.72,PASS,PASS,PASS,PASS,5.28,22.04,7.41,22.02,7.43,10001,49,10041,49,31385,58,31385,52,50.05406,49.94207,PASSED,PASSED,PASSED,PASSED,1020.8,1354.4,PASS,
ZJ2404122-001-1133,14.88,4.04,18.75,3.97,18.65,PASS,PASS,PASS,PASS,0.92,22.04,7.41,22.02,7.42,10005,49,10041,49,31422,57,31422,49,49.988,49.985,PASSED,PASSED,PASSED,PASSED,1003.4,1332.8,FAIL,Failed FUNC_DIGITAL_5V_CHECK, 
ZJ2404122-001-1133,14.88,4,18.73,3.88,18.7,PASS,PASS,PASS,PASS,0.93,22.03,7.41,22.01,7.43,10003,49,10041,49,31397,57,31397,49,50.03903,50.011,PASSING,PASSED,PASSED,PASSED,1027,1387.2,FAIL,Failed FUNC_DIGITAL_5V_CHECK, 
ZJ2404122-001-1139,14.89,4.08,18.62,3.92,18.7,PASS,PASS,PASS,PASS,5.33,22.05,7.41,22.02,7.44,10005,49,10041,49,31385,57,31385,48,50.04604,49.97202,PASSED,PASSED,PASSED,PASSED,983.2,985.6,PASS,
ZJ2404122-001-1130,14.89,4,18.66,3.93,18.63,PASS,PASS,PASS,PASS,5.31,22.02,7.41,22,7.45,10004,49,10041,49,31434,57,31434,52,49.92711,50.08916,PASSED,PASSED,FAILED,FAILED,1009.6,1332.8,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1130,14.88,4,18.67,3.83,18.62,PASS,PASS,PASS,PASS,5.31,22.02,7.42,22.01,7.44,10006,49,10041,49,31434,57,31434,46,49.95504,50.0225,PASSED,PASSED,PASSED,PASSED,1002.4,1357.6,PASS,
ZJ2404122-001-1132,14.89,4.03,18.68,3.84,18.77,PASS,PASS,PASS,PASS,5.33,22.03,7.42,22.01,7.43,10004,49,10041,49,31434,58,31434,47,50.0691,49.95903,PASSED,PASSED,FAILED,FAILED,1010.4,1362.4,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-1132,14.88,4.04,18.77,3.98,18.85,PASS,PASS,PASS,PASS,5.32,22.03,7.41,22,7.44,10005,49,10041,49,31434,58,31434,48,50.04003,50,PASSED,PASSED,PASSED,PASSED,1007.2,1360.8,PASS,
